market,index_name,ticker,announce_date,effective_date,batch_id,security_name,event_type,inclusion,source,source_url,note,sector,treatment_group,matched_to_event_id
CN,CSI300,000413,2020-06-01,2020-06-15,csi300-2020-06,东旭光电,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,000415,2020-06-01,2020-06-15,csi300-2020-06,渤海租赁,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,000423,2020-06-01,2020-06-15,csi300-2020-06,东阿阿胶,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,000629,2020-06-01,2020-06-15,csi300-2020-06,攀钢钒钛,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,000630,2020-06-01,2020-06-15,csi300-2020-06,铜陵有色,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,000898,2020-06-01,2020-06-15,csi300-2020-06,鞍钢股份,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,002010,2020-06-01,2020-06-15,csi300-2020-06,传化智联,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,002081,2020-06-01,2020-06-15,csi300-2020-06,金螳螂,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,002294,2020-06-01,2020-06-15,csi300-2020-06,信立泰,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,002411,2020-06-01,2020-06-15,csi300-2020-06,延安必康,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,300017,2020-06-01,2020-06-15,csi300-2020-06,网宿科技,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,300024,2020-06-01,2020-06-15,csi300-2020-06,机器人,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,300070,2020-06-01,2020-06-15,csi300-2020-06,碧水源,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,600023,2020-06-01,2020-06-15,csi300-2020-06,浙能电力,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,600100,2020-06-01,2020-06-15,csi300-2020-06,同方股份,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,600153,2020-06-01,2020-06-15,csi300-2020-06,建发股份,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,600535,2020-06-01,2020-06-15,csi300-2020-06,天士力,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
CN,CSI300,600566,2020-06-01,2020-06-15,csi300-2020-06,济川药业,deletion,0,CSIndex adjustment attachment manual transcription,https://www.yicai.com/news/100650649.html,Transcribed from public news reproduction of official CSIndex attachment,,1.0,
