search_term,requested_rows,api_code,status,raw_rows,hs300_title_rows,title_matched_rows,theme_matched_rows,matched_rows,matched_notice_ids,matched_publish_dates,date_filtered_matched_rows,date_filtered_notice_ids,sample_titles,reason
沪深300、中证500、中证1000,120,200,ok,19,12,12,12,12,3006000 | 15693 | 15690 | 15470 | 15471 | 15266 | 15267 | 15043 | 15044 | 14806 | 14796 | 14503,2025-11-28 | 2025-05-30 | 2025-05-30 | 2024-11-29 | 2024-11-29 | 2024-05-31 | 2024-05-31 | 2023-11-24 | 2023-11-24 | 2023-05-26 | 2023-05-26 | 2022-11-25,1,14503,关于沪深300、中证500、中证1000、中证A500等指数定期调整结果的公告 | 中证指数公司公布沪深300等指数样本定期调整方案 | 关于沪深300、中证500、中证1000、中证A500等指数定期调整结果的公告,
沪深300等指数样本,120,200,ok,14,13,13,13,13,3006002 | 1006022 | 15693 | 15546 | 15470 | 15266 | 15043 | 14806 | 14503 | 2882 | 6271 | 3453 | 792,2025-11-28 | 2025-07-25 | 2025-05-30 | 2025-02-06 | 2024-11-29 | 2024-05-31 | 2023-11-24 | 2023-05-26 | 2022-11-25 | 2015-12-28 | 2015-01-22 | 2013-08-13 | 2011-08-05,1,14503,中证指数公司公布沪深300等指数样本定期调整方案 | 关于调整沪深300等指数样本的公告 | 中证指数公司公布沪深300等指数样本定期调整方案,
关于沪深300、中证500、中证1000等指数定期调整结果的公告,120,200,ok,3,3,3,3,3,15267 | 15044 | 14796,2024-05-31 | 2023-11-24 | 2023-05-26,0,,关于沪深300、中证500、中证1000等指数定期调整结果的公告 | 关于沪深300、中证500、中证1000等指数定期调整结果的公告 | 关于沪深300、中证500、中证1000等指数定期调整结果的公告,Matched notices exist but fall outside the requested date window.
关于沪深300、中证500、中证1000、中证A500等指数定期调整结果的公告,120,200,ok,3,3,3,3,3,3006000 | 15690 | 15471,2025-11-28 | 2025-05-30 | 2024-11-29,0,,关于沪深300、中证500、中证1000、中证A500等指数定期调整结果的公告 | 关于沪深300、中证500、中证1000、中证A500等指数定期调整结果的公告 | 关于沪深300、中证500、中证1000、中证A500等指数定期调整结果的公告,Matched notices exist but fall outside the requested date window.
沪深300 指数样本 调整,120,200,ok,0,0,0,0,0,,,0,,,No rows matched the HS300 rebalance title/theme filters.
沪深300 指数样本股 调整,120,200,ok,0,0,0,0,0,,,0,,,No rows matched the HS300 rebalance title/theme filters.
调整沪深300指数样本,120,200,ok,2,2,2,2,2,1593 | 87,2005-12-20 | 2005-06-22,0,,关于调整沪深300指数样本股的公告 | 关于调整沪深300指数样本股的公告,Matched notices exist but fall outside the requested date window.
调整沪深300指数样本股,120,200,ok,2,2,2,2,2,1593 | 87,2005-12-20 | 2005-06-22,0,,关于调整沪深300指数样本股的公告 | 关于调整沪深300指数样本股的公告,Matched notices exist but fall outside the requested date window.
沪深300 定期调整,120,200,ok,0,0,0,0,0,,,0,,,No rows matched the HS300 rebalance title/theme filters.
沪深300指数样本调整,120,200,ok,5,5,5,5,5,14497 | 14223 | 13888 | 12470 | 11514,2022-11-25 | 2022-05-27 | 2021-11-26 | 2021-05-28 | 2020-11-27,5,14497 | 14223 | 13888 | 12470 | 11514,关于沪深300和中证香港100等指数定期调整结果的公告 | 关于沪深300和中证香港100等指数定期调整结果的公告 | 关于调整沪深300和中证香港100等指数样本的公告,
沪深300指数定期调整,120,200,ok,0,0,0,0,0,,,0,,,No rows matched the HS300 rebalance title/theme filters.
